team,run_id,macro_f1,submitted_at,author_type,model,notes
faranbutt,run_01,0.7808776365939898,2026-03-02 09:10:19 UTC,human,"GAT(8-heads, LayerNorm)",Here is my submission for DiaGraph Competetion
emmanuel_owusu,run1,0.5046070977757431,2026-03-04 15:36:52 UTC,human,GraphSAGE,"2-layer GraphSAGE with layernormalization, and class weighting"
Team_Sanae,run_01,0.4769289367722276,2026-03-08 00:17:41 UTC,hybrid,GraphSage,llm to fix the data loading issue
samuel,run_01,0.4987805457343628,2026-03-10 10:26:23 UTC,human,GCNConv,"Stable model with BatchNorm, Gradient clipping and self-loops"
Elhouiti_Ikram,run_03,0.8223775090830094,2026-03-13 00:44:49 UTC,hybrid,GCN,llm used to find the reason of the loss NAN values
Abderrahmane,run_01,0.5010770570203402,2026-03-15 00:20:06 UTC,human,GAT,Transductive settings
Sargam_Goyal,01,0.5001833741897774,2026-03-21 08:59:47 UTC,human,BiGCN,Used focal loss
AIkram,run_1,0.4840521667499136,2026-03-28 16:55:17 UTC,human,GraphSAGE,"3-layer GraphSAGE with StandardScaler, gradient clipping, weighted CE for class imbalance"
Muhammad_Isah,run_01,0.72236984259086,2026-03-28 21:26:42 UTC,human,GCNConv,Compact GCNConv with seed 25 and label smoothing
Murad,gcn_v1,0.4996113894811101,2026-03-31 02:35:07 UTC,human,GCN (2-layer) top2 ensemble from 5-run GCN search,"Seed=25, 5-run manual search, GCN only, early stopping, class-balanced BCE, label smoothing, CPU Colab"
Tuga Yousif,run1,0.5041023397544293,2026-04-01 03:38:14 UTC,human,GCNConv,/
Ignatius,run_id_3,0.4769289367722276,2026-04-02 23:04:45 UTC,human,GraphSAGE,# 3-layered without dealing with class imbalance
hadil,run_01,0.7343810229367236,2026-04-03 21:49:46 UTC,hybrid,"GATv2 (32 hidden, 4 heads, AdamW)","Rules compliant: seed=25, Macro-F1 oriented, GNN only, class weighting for imbalance."
Mubaraq,run_001,0.5709121563056945,2026-04-04 00:36:09 UTC,human,Vanilla GCN,3 layer GCN
Mohammad_Idrees_Bhat,run_01,0.4769289367722276,2026-04-04 07:40:56 UTC,human,Simple GCN,Pytorch
RosaPY,run3,0.7992829278104776,2026-04-12 09:59:44 UTC,human,GCN,
DeepSeek-v4-pro,run_01,0.7437480260407918,2026-05-15 19:41:44 UTC,llm,-,-
Gemini-3-Flash,run_01,0.494700682390202,2026-05-16 18:58:53 UTC,llm,GraphSAGE,"2 layer GraphSAGE model with hidden dimension of 128, ReLU activations, and dropout (0.5)"
gpt5.4,run_01,0.7253656656055373,2026-05-17 17:46:01 UTC,llm,model,model
LLM_Claude_Opus_47,run_claude_47,0.7692795925246272,2026-05-17 21:25:00 UTC,llm,GraphSAGE,"GNN-CB LLM baseline. Generated by Claude Opus 4.7 (claude-opus-4-7) under frozen prompt template prompt.md v1.1 (temperature=0, top_p=1, seed=42). Agent mode (Claude Code). Zero few-shot examples, zero per-task hints, zero prompt edits. 1 repair iteration (cosmetic self-check assertion fix; predictions unchanged - script was deterministic and predictions.csv had already been written before the assert). Pipeline: 96,128-node patient similarity graph with 1.22M undirected edges; 12-dim clinical features (age, bmi, HbA1c level + missing indicator, glucose, hypertension, heart_disease, gender one-hot, smoking history one-hot); HbA1c NaNs (14,368 entries) imputed with train-set median to avoid leakage; 2-layer GraphSAGE (mean aggregator) hidden=128 + BatchNorm + dropout=0.5; CrossEntropyLoss with inverse-frequency class weights ({0:0.574, 1:3.858}) for the 6.7:1 imbalance; Adam lr=5e-3 wd=5e-4 full-batch transductive; early stop on official val.csv Macro-F1 patience=20 max 200 epochs; 5-seed soft-vote ensemble {42..46} averaging class-1 softmax probability. Local val Macro-F1: 0.7820 (ensemble), 0.7811 +/- 0.0052 per-seed. CPU only, wall-clock ~20 min."
LLM_Gemini_25_Pro,run_gemini_25_pro,0.48848473098812595,2026-05-17 21:38:05 UTC,llm,GCN,"GNN-CB LLM baseline. Generated by Gemini 2.5 Pro (gemini-2.5-pro) under prompt_filled.md (temperature=0, top_p=0.99). 1 repair iteration. Pipeline: node features from data/public/nodes.csv with mean imputation for NaNs; undirected edge_index constructed by symmetrizing edges.csv and removing duplicates; 2-layer GCN (hidden=128) with ReLU + dropout=0.5; Adam lr=0.01 wd=5e-4; BCEWithLogitsLoss with pos_weight from train class ratio; early stop on Macro-F1 with patience=30 up to 300 epochs; predictions.csv has 19,226 rows with y_pred range [0.1070, 1.0000]."
